Arbor Mist 2016 Walmart Geo copy 2,2015-05-06,2015-06-30,National,No Gender Data,Arbor Mist,799.9975,21,65,Keyword
Arbor Mist 2016 Walmart Geo copy 1,2015-05-06,2015-06-30,National,No Gender Data,Arbor Mist,799.9975,21,65,Keyword
Arbor Mist 2016 Walmart Geo Partition 22,2015-05-01,2015-06-30,Geographic,No Gender Data,Arbor Mist,776.6524999999999,21,65,Keyword
Arbor Mist 2016 Walmart Geo Partition 21,2015-05-01,2015-06-30,Geographic,No Gender Data,Arbor Mist,810.428,21,65,Keyword
Arbor Mist 2016 Walmart Geo Partition 23,2015-05-01,2015-06-30,Geographic,No Gender Data,Arbor Mist,334.30499999999995,21,65,Keyword
Arbor Mist 2016 Walmart Geo Partition 17,2015-05-01,2015-06-30,Geographic,No Gender Data,Arbor Mist,742.8884999999999,21,65,Keyword
Arbor Mist 2016 Walmart Geo Partition 16,2015-05-01,2015-06-30,Geographic,No Gender Data,Arbor Mist,574.0455,21,65,Keyword
Arbor Mist 2016 Walmart Geo Partition 20,2015-05-01,2015-06-30,Geographic,No Gender Data,Arbor Mist,877.956,21,65,Keyword
Arbor Mist 2016 Walmart Geo Partition 18,2015-05-01,2015-06-30,Geographic,No Gender Data,Arbor Mist,574.0455,21,65,Keyword
Arbor Mist 2016 Walmart Geo Partition 19,2015-05-01,2015-06-30,Geographic,No Gender Data,Arbor Mist,574.0455,21,65,Keyword
Arbor Mist 2016 Walmart Geo Partition 14,2015-05-01,2015-06-30,Geographic,No Gender Data,Arbor Mist,1384.4735,21,65,Keyword
Arbor Mist 2016 Walmart Geo Partition 15,2015-05-01,2015-06-30,Geographic,No Gender Data,Arbor Mist,1046.799,21,65,Keyword
Arbor Mist 2016 Walmart Geo Partition 11,2015-05-01,2015-06-30,Geographic,No Gender Data,Arbor Mist,742.8884999999999,21,65,Keyword
Arbor Mist 2016 Walmart Geo Partition 12,2015-05-01,2015-06-30,Geographic,No Gender Data,Arbor Mist,472.74199999999996,21,65,Keyword
Arbor Mist 2016 Walmart Geo Partition 13,2015-05-01,2015-06-30,Geographic,No Gender Data,Arbor Mist,506.5174999999999,21,65,Keyword
Arbor Mist 2016 Walmart Geo Partition 08,2015-05-01,2015-06-30,Geographic,No Gender Data,Arbor Mist,945.4954999999999,21,65,Keyword
Arbor Mist 2016 Walmart Geo Partition 10,2015-05-01,2015-06-30,Geographic,No Gender Data,Arbor Mist,945.4954999999999,21,65,Keyword
Arbor Mist 2016 Walmart Geo Partition 07,2015-05-01,2015-06-30,Geographic,No Gender Data,Arbor Mist,844.192,21,65,Keyword
Arbor Mist 2016 Walmart Geo Partition 09,2015-05-01,2015-06-30,Geographic,No Gender Data,Arbor Mist,540.2814999999999,21,65,Keyword
Arbor Mist 2016 Walmart Geo Partition 06,2015-05-01,2015-06-30,Geographic,No Gender Data,Arbor Mist,776.6524999999999,21,65,Keyword
Arbor Mist 2016 Walmart Geo Partition 03,2015-05-01,2015-06-30,Geographic,No Gender Data,Arbor Mist,1620.8445,21,65,Keyword
Arbor Mist 2016 Walmart Geo Partition 04,2015-05-01,2015-06-30,Geographic,No Gender Data,Arbor Mist,945.4954999999999,21,65,Keyword
Arbor Mist 2016 Walmart Geo Partition 05,2015-05-01,2015-06-30,Geographic,No Gender Data,Arbor Mist,945.4954999999999,21,65,Keyword
Arbor Mist 2016 Walmart Geo Partition 02,2015-05-01,2015-06-30,Geographic,No Gender Data,Arbor Mist,1046.799,21,65,Keyword
Arbor Mist 2016 Walmart Geo Partition 01,2015-05-01,2015-06-30,Geographic,No Gender Data,Arbor Mist,371.45,21,65,Keyword
Black Box 2016 Super Target 1,2015-09-28,2015-10-04,Geographic,No Gender Data,Black Box,Spend Not Available,21,65,Behavioral
Black Box 2016 Super Target 3,2015-10-12,2015-10-18,Geographic,No Gender Data,Black Box,Spend Not Available,21,65,Behavioral
Black Box 2016 Super Target 2,2015-10-05,2015-10-11,Geographic,No Gender Data,Black Box,Spend Not Available,21,65,Behavioral
Black Box 2016 Super Target 4,2015-10-19,2015-10-26,Geographic,No Gender Data,Black Box,Spend Not Available,21,65,Behavioral
Black Box 2016 Sweepstake Re-targeting,2015-07-21,2015-08-25,National,No Gender Data,Black Box,2849.9874999999997,21,65,Keyword
Black Box 2016 Sweepstake box,2015-07-07,2015-08-25,National,No Gender Data,Black Box,8074.5525,21,65,Keyword
Black Box 2016 Sweepstake logo,2015-07-07,2015-08-25,National,No Gender Data,Black Box,8074.897499999999,21,65,Keyword
US - 21-65,2014-02-25,2014-02-26,No Targeting Information,No Gender Data,US - 21-6,233.404,No Targeting,No Targeting,No Methodology
US - 21-65,2014-02-20,2014-02-23,No Targeting Information,No Gender Data,US - 21-6,233.31199999999998,No Targeting,No Targeting,No Methodology
US - 21-65,2014-02-19,2014-02-20,No Targeting Information,No Gender Data,US - 21-6,233.27749999999997,No Targeting,No Targeting,No Methodology
US - 21-65,2014-01-14,2014-01-15,No Targeting Information,No Gender Data,US - 21-6,200.00799999999998,No Targeting,No Targeting,No Methodology
US - 21-65,2014-01-06,2014-01-09,No Targeting Information,No Gender Data,US - 21-6,200.00799999999998,No Targeting,No Targeting,No Methodology
US - 21-65,2013-12-16,2013-12-17,No Targeting Information,No Gender Data,US - 21-6,100.00399999999999,No Targeting,No Targeting,No Methodology
Clos du Bois 2016 Sonoma Sweeps Lookalike Desktop,2015-03-20,2015-04-28,National,No Gender Data,Clos du Bois,9999.9975,21,65,Keyword
Clos du Bois 2016 Sonoma Sweeps Lookalike Mobile,2015-03-20,2015-04-28,National,No Gender Data,Clos du Bois,9999.9975,21,65,Keyword
Clos du Bois 2016 Sonoma Sweeps Wine Mobile,2015-03-04,2015-04-28,National,No Gender Data,Clos du Bois,9999.9975,21,65,Keyword
Clos du Bois 2016 Sonoma Sweeps Wine Desktop,2015-03-04,2015-04-28,National,No Gender Data,Clos du Bois,9999.9975,21,65,Keyword
Clos du Bois 2016 Sonoma Sweeps Wine Desktop,2015-03-04,2015-04-28,National,No Gender Data,Clos du Bois,Spend Not Available,21,65,Keyword
Clos du Bois 2016 Sonoma Sweeps Wine Mobile,2015-03-04,2015-04-28,National,No Gender Data,Clos du Bois,Spend Not Available,21,65,Keyword
Clos Krave Combined,2014-12-15,2014-12-17,National,No Gender Data,Clos Krave C,7104.343499999999,21,65,Keyword
Clos Krave Desktop - Conversion Optimization,2014-12-05,2014-12-17,Geographic,No Gender Data,Clos Krave D,2925.9565,21,65,Keyword
Clos Krave Mobile - Conversion Optimization,2014-12-05,2014-12-17,Geographic,No Gender Data,Clos Krave M,3893.3019999999997,21,65,Keyword
Clos Krave Desktop,2014-11-18,2014-12-17,Geographic,No Gender Data,Clos Krave D,1878.7779999999998,21,65,Keyword
Clos Krave Mobile,2014-11-18,2014-12-17,Geographic,No Gender Data,Clos Krave M,3429.3575,21,65,Keyword
instagram test,2015-08-31,2015-09-30,National,No Gender Data,instagram test,Spend Not Available,21,65,Demo
